Radius,Vobs,Verr,Vbar
3.44,285.0,14.4,231.30419386599974
3.77,297.0,13.6,226.7847157548321
4.13,303.0,8.47,223.61781373584708
4.47,306.0,5.93,221.08762543389892
4.8,307.0,5.93,218.95730364616747
5.13,304.0,8.47,217.36443621255063
5.48,308.0,8.47,216.1875942786727
5.83,313.0,12.7,214.86684499940887
6.16,314.0,9.32,213.80855532461743
6.51,315.0,6.78,214.43025294953134
6.86,317.0,8.47,215.07727762364857
7.18,320.0,7.63,215.31525405785814
7.51,316.0,20.5,215.64580828293415
7.85,318.0,23.4,216.6005221138675
8.21,321.0,8.48,217.18574520442172
8.57,323.0,8.66,216.80740826826005
8.9,321.0,12.7,216.0889295637331
9.24,323.0,11.0,214.76708516437057
9.6,323.0,10.4,213.21419776834747
9.93,322.0,13.6,212.18320663992236
10.27,321.0,13.6,211.4804033947354
10.6,323.0,9.32,210.74830172506728
10.93,322.0,11.9,210.0753188739696
11.27,321.0,11.0,209.2542638753151
12.31,323.0,4.24,205.3766388370401
14.35,319.0,4.24,193.8184032025855
16.4,308.0,4.24,181.09824245419944
18.48,299.0,5.66,170.99663499613084
20.57,299.0,5.66,164.22326576950053
22.51,298.0,5.66,160.8825153023162
24.59,296.0,5.66,155.88705263747855
26.68,293.0,4.24,148.44833757910527
28.77,289.0,4.24,141.73872805270972
30.7,289.0,4.24,136.62139777501912
32.79,288.0,4.24,132.68960897523212
34.88,285.0,4.24,130.3748028569938
36.96,283.0,2.83,128.96039430770983
38.9,275.0,2.83,127.77276529057356
40.99,272.0,2.83,126.07726607124697
43.08,271.0,2.83,123.97210412024151
45.16,274.0,4.24,121.18951819361277
47.1,277.0,4.24,117.89784043823704
49.19,281.0,4.24,114.45250442869305
51.27,286.0,4.24,111.77230815367463
53.36,282.0,4.24,110.16488356096056
55.3,283.0,4.24,109.8068466899947
57.38,288.0,5.66,109.87778292266367
59.47,287.0,5.66,109.98964937665725
61.56,289.0,7.07,109.54623749814505
63.64,294.0,7.07,108.55790814123125
