Radius,Vobs,Verr,Vbar
0.63,265.0,15.0,290.19125732867974
1.72,250.0,15.0,256.7154331550793
2.79,233.0,7.29,226.01175394213462
3.91,230.0,6.45,206.35166742723453
5.03,228.0,5.37,191.07697420149816
6.14,228.0,5.16,177.46300876520718
7.26,227.0,5.94,165.7746257724625
8.37,226.0,3.0,156.78982374503775
9.5,223.0,3.92,148.8578749344488
10.65,219.0,2.9,141.94406299666076
11.74,216.0,2.55,136.02831403792374
12.82,214.0,2.55,130.4400359168917
14.01,214.0,3.07,124.59102283069997
15.09,214.0,3.61,120.36182168777607
16.18,214.0,4.46,116.76225640163005
17.36,214.0,5.07,112.75150943557252
18.44,214.0,4.78,109.3918726414353
19.53,214.0,4.87,106.27219259994591
