Radius,Vobs,Verr,Vbar
0.72,125.0,17.6,142.48485954654973
1.43,162.0,8.5,169.83829618198598
2.16,178.0,5.22,186.204926223771
2.87,193.0,1.88,198.58496770903884
3.59,192.0,3.59,193.36047191709062
4.3,190.0,0.97,192.52814937042325
5.03,195.0,0.99,193.7393941613321
5.75,201.0,0.45,195.83451279077443
6.46,204.0,0.81,198.71293692158045
7.18,204.0,0.65,196.1884102081466
7.91,206.0,0.66,193.6562997942489
8.62,206.0,1.54,190.99794278996828
11.49,206.0,1.9,176.77215023866174
14.3,206.0,0.42,165.5611166608875
17.19,203.0,4.19,154.83475966332625
20.07,200.0,1.23,141.82234538322936
22.96,194.0,4.09,130.76533294417143
25.85,188.0,5.2,122.00514149002082
28.74,184.0,1.16,115.74006998442674
31.62,182.0,2.47,110.92731133494581
34.51,180.0,3.85,107.30540480329964
37.4,181.0,8.43,102.64357115767163
40.29,180.0,4.55,99.79792983824865
43.17,179.0,0.44,97.31763252360797
45.92,179.0,1.96,95.64092455638433
48.81,179.0,2.99,93.24102128355308
51.7,174.0,3.39,90.73830530707525
54.59,172.0,4.84,87.85020660191984
