Radius,Vobs,Verr,Vbar
0.16,24.5,2.83,16.41194839133977
0.26,35.3,2.46,24.98208257932072
0.36,43.2,1.12,33.2682558905633
0.46,52.0,1.25,40.144181396561066
0.56,60.9,2.93,45.169414984035384
0.66,65.8,1.25,47.86623862389858
0.76,71.7,1.25,50.19561783661996
0.86,74.6,1.6,51.60874344527291
0.96,74.6,1.03,53.09349159737002
1.06,76.6,1.12,54.70689261875509
1.16,78.5,1.6,56.394174787827154
1.27,83.4,1.8,58.337798210079896
1.36,86.4,1.6,60.48990122326205
1.47,87.4,1.41,62.44917453417619
1.57,90.3,1.41,64.4620574446705
1.67,93.3,1.6,66.7434213986667
1.77,93.3,1.41,68.79059674112443
1.87,95.2,1.25,70.46278556798617
1.97,97.2,1.6,72.03738126833873
2.08,99.1,2.02,73.72463733379772
2.18,98.2,2.02,75.35433199226172
2.28,98.2,1.6,75.84522430581902
2.37,98.2,1.0,75.49274236640235
2.47,97.2,1.12,75.10376122405587
2.57,98.2,1.41,74.8185545169111
2.68,98.2,1.12,74.39967842672439
2.78,98.2,1.6,74.06903874089362
2.88,99.1,2.69,73.76539635899749
2.98,100.0,2.69,73.58418851900183
3.08,102.0,3.16,73.61786060461144
3.19,101.0,3.4,73.68382217284878
3.29,101.0,3.4,74.03142947424425
3.39,103.0,2.93,74.47683331076853
3.49,107.0,2.46,74.86524093329294
3.59,110.0,2.46,75.02273555396391
3.69,112.0,3.4,75.41249763799101
3.79,114.0,5.1,75.54435816128164
3.9,118.0,5.1,75.4677805424275
3.99,118.0,4.85,75.34937922770166
4.47,118.0,5.36,74.90426189476804
4.97,121.0,2.57,74.05212961151084
5.47,124.0,0.22,72.94263568037557
5.96,125.0,0.88,71.37806700941123
6.46,126.0,0.45,69.77173496481223
6.96,126.0,0.55,68.67659972654441
7.45,126.0,0.45,67.71011962771887
7.95,126.0,0.24,66.83780704062634
8.45,127.0,1.45,66.27995624621369
8.94,128.0,1.12,65.89586443776271
9.44,128.0,1.68,65.52703373417722
9.94,127.0,2.56,65.0606878229857
10.43,127.0,1.24,64.94642137947248
10.93,128.0,0.21,64.74515310044451
11.43,130.0,1.13,64.41789192452669
11.92,130.0,2.23,63.922404131884775
12.42,132.0,2.68,63.564017336854974
12.92,133.0,2.68,63.12334710707283
13.42,133.0,3.37,62.3625765182934
13.91,133.0,3.81,61.46882380524293
14.41,133.0,2.56,60.71350508741857
14.91,134.0,0.56,60.000723745634936
15.4,134.0,0.79,59.24280040646289
15.9,133.0,0.67,58.42767880037679
16.4,134.0,2.35,57.581762737866924
16.89,134.0,4.13,56.59162526381443
17.39,136.0,3.91,55.69034880479741
17.89,136.0,6.38,54.72759541584117
18.38,135.0,8.39,53.80611210633974
18.88,133.0,7.83,52.8758801345188
19.38,134.0,6.26,52.25974645939262
19.87,136.0,5.6,51.97285974429346
20.37,135.0,5.24,51.68822012799435
20.87,134.0,3.12,51.44159163556275
