Radius,Vobs,Verr,Vbar
2.67,221.0,20.0,251.97887713060393
3.21,237.0,13.0,264.4347516496272
3.74,249.0,8.0,275.6652313586173
4.27,250.0,5.0,275.8196327856304
4.81,253.0,5.0,273.4442633700696
5.35,257.0,5.0,274.51298426486136
5.88,257.0,5.0,269.34129562694244
6.41,257.0,5.0,265.180273078523
7.48,257.0,5.0,254.02275984643583
8.55,255.0,5.0,238.60471041033537
9.62,248.0,6.0,229.3329927201928
10.66,247.0,6.0,221.49136014752358
11.74,246.0,6.0,213.95827869002872
12.83,244.0,6.0,208.71575223255192
13.91,242.0,4.0,203.51846518190922
15.0,238.0,3.0,197.96862685789384
16.08,236.0,3.0,193.13934407572165
17.07,233.0,3.0,189.68860661621193
18.15,234.0,3.0,187.2646016202742
19.24,236.0,3.0,185.5578518414136
20.32,237.0,3.0,183.2082060662131
21.41,238.0,3.0,179.29356494308433
22.49,240.0,3.0,175.52189236673584
23.48,238.0,3.0,172.5171474085982
24.57,237.0,3.0,168.4120560411279
25.65,236.0,3.0,164.72852014754457
26.74,238.0,3.0,161.43043229205577
27.82,239.0,3.0,158.04190346234128
28.91,239.0,3.0,154.49986090608624
29.89,241.0,4.0,151.3289849962657
30.98,236.0,4.0,148.00584289142103
32.06,236.0,5.0,145.20414790907319
33.15,239.0,5.0,142.88869958817597
34.23,237.0,5.0,140.66870540386728
35.32,241.0,7.0,138.31511551526103
36.31,238.0,9.0,135.51705269079608
