Radius,Vobs,Verr,Vbar
0.32,24.4,35.9,44.74571711348473
0.64,43.3,16.3,52.08548550220109
0.96,45.5,16.1,55.84729357811353
1.28,58.5,15.4,58.47877820201103
1.61,68.8,7.61,59.55272202007227
1.93,76.9,10.3,58.81004973641835
2.24,82.0,8.09,61.5447796323945
2.57,86.9,7.6,62.861685866670804
2.89,97.6,3.03,62.90210886766834
3.21,100.0,5.31,66.32389049203914
3.54,107.0,7.51,71.57228583746644
3.85,113.0,7.32,76.74314334192991
4.17,117.0,5.21,81.69204643048184
4.5,119.0,5.67,85.26872199112638
4.82,127.0,5.39,88.80610958712244
5.15,132.0,4.34,91.69743944080446
5.46,134.0,2.36,94.42312666926468
5.78,137.0,0.89,96.84191938411794
6.1,140.0,2.84,99.03062985763546
6.43,142.0,0.88,100.8626955320945
6.74,144.0,1.23,101.32139014048316
7.06,146.0,1.57,100.48720664840873
8.04,147.0,3.0,97.33017671822034
9.04,148.0,3.0,94.62670315508197
10.04,152.0,2.0,93.62450213485782
11.04,155.0,2.0,93.57334476227726
12.05,156.0,2.0,93.36279933678082
14.05,157.0,2.0,90.36059760758558
16.07,153.0,2.0,84.75216280426123
18.13,153.0,2.0,80.84814530958641
20.05,154.0,2.0,78.94877389801567
22.12,153.0,2.0,76.59022914184288
24.03,150.0,2.0,74.3763628446565
26.1,149.0,2.0,72.99129091884866
28.16,148.0,2.0,72.02298174888347
30.08,146.0,2.0,70.31718531056259
32.14,147.0,2.0,68.33622794682188
34.06,148.0,2.0,67.2461905984272
36.12,148.0,2.0,66.79193214752813
38.19,149.0,2.0,66.35266799458783
40.1,150.0,2.0,66.0035089976283
42.17,150.0,3.0,66.21895423517348
44.08,149.0,3.0,64.71316751635636
