Radius,Vobs,Verr,Vbar
0.51,143.0,33.1,138.30195298693363
0.69,160.0,15.0,150.78674742828034
0.86,178.0,7.92,161.5468924182697
1.03,188.0,8.01,171.1796014424616
1.2,187.0,8.03,173.02739219557117
1.38,195.0,5.6,175.18025202630577
1.55,199.0,7.52,177.75616684098475
1.71,203.0,6.87,182.4195942052279
1.89,206.0,9.22,185.6460629800697
2.06,211.0,12.0,190.83639262467733
2.23,219.0,13.3,194.27043650540347
2.41,216.0,9.9,195.48556174306069
2.58,214.0,10.5,193.8465662579557
2.75,213.0,8.39,193.4680754026359
2.92,210.0,13.3,193.21970111766552
3.09,214.0,6.67,194.29156942595324
3.26,213.0,9.98,195.15040750662038
3.43,212.0,11.2,196.774343347907
3.61,215.0,9.11,197.27617811078966
3.78,217.0,10.1,198.76095026438168
3.95,219.0,8.05,199.511425487364
4.12,220.0,8.29,200.33238030832658
4.29,218.0,8.42,199.58816335143726
4.46,220.0,9.71,198.54949030405493
4.64,220.0,20.1,196.12672918294436
4.81,216.0,23.5,193.543527662384
4.98,220.0,14.6,190.64849448658123
5.15,218.0,12.2,188.15254887989158
5.32,213.0,23.1,185.5730329277398
5.49,215.0,21.2,183.1941637989595
5.67,216.0,18.3,180.8450181785498
5.84,208.0,31.7,178.82053587326038
6.01,212.0,25.3,176.88579747961677
6.19,213.0,23.8,175.10048372291837
6.35,216.0,19.6,173.52649523919973
6.64,210.0,25.0,170.51648923198013
8.82,210.0,10.7,152.31369652792227
11.07,210.0,10.7,139.8872218967837
13.32,206.0,6.25,130.02631541345775
15.49,206.0,6.25,121.44994915602065
17.74,206.0,10.7,112.4446757298895
